rank,personName,age,finalWorth,category,country,gender
466,Juan Roig,68.0,4000,Fashion & Retail,Spain,M
466,John Sall,69.0,4000,Technology,United States,M
466,Leonard Stern,79.0,4000,Real Estate,United States,M
466,Ye Chenghai,74.0,4000,Healthcare,Hong Kong,M
480,Anthony Bamford,72.0,4000,Construction & Engineering,United Kingdom,M
480,Chu Mang Yee,58.0,4000,Real Estate,China,M
480,Juan Carlos Escotet,58.0,4000,Finance & Investments,Venezuela,M
480,Miguel Fluxa Rossello,79.0,4000,Service,Spain,M
480,Andrew Forrest,56.0,4000,Metals & Mining,Australia,M
480,Paul Gauselmann,83.0,4000,Gambling & Casinos,Germany,M
480,Tamara Gustavson,56.0,4000,Service,United States,F
480,Micky Jagtiani,66.0,4000,Fashion & Retail,India,M
480,Johan Johannson,51.0,4000,Fashion & Retail,Norway,M
480,Richard Li,51.0,4000,Telecom,Hong Kong,M
480,John Morris,69.0,4000,Fashion & Retail,United States,M
480,Theo Mueller,78.0,4000,Food & Beverage,Germany,M
480,Akio Nitori,74.0,4000,Fashion & Retail,Japan,M
480,Wolfgang Reimann,65.0,4000,Fashion & Retail,Germany,M
480,Matthias Reimann-Andersen,52.0,4000,Fashion & Retail,Germany,M
480,Stefan Reimann-Andersen,54.0,4000,Fashion & Retail,Germany,M
480,Renate Reimann-Haas,66.0,4000,Fashion & Retail,Germany,F
480,Robert Smith,55.0,4000,Finance & Investments,United States,M
480,Russ Weiner,47.0,4000,Food & Beverage,United States,M
499,Jeronimo Arango,92.0,4000,Fashion & Retail,Mexico,M
499,Rahul Bajaj,79.0,4000,Automotive,India,M
499,Rainer Blickle,70.0,4000,Manufacturing,Germany,M
499,Rocco Commisso,68.0,4000,Telecom,United States,M
499,Giuseppe De'Longhi,78.0,4000,Fashion & Retail,Italy,M
499,Tilman Fertitta,60.0,4000,Food & Beverage,United States,M
499,Nathan Kirsh,86.0,4000,Fashion & Retail,Swaziland,M
499,Terrence Pegula,66.0,4000,Energy,United States,M
499,Robert Pera,39.0,4000,Technology,United States,M
499,Gary Rollins,73.0,4000,Service,United States,M
499,Randall Rollins,86.0,4000,Service,United States,M
499,Alejandro Santo Domingo,41.0,4000,Food & Beverage,United States,M
499,Andres Santo Domingo,39.0,4000,Food & Beverage,United States,M
499,Pham Nhat Vuong,49.0,4000,Diversified,Vietnam,M
499,Roger Wang,69.0,4000,Fashion & Retail,United States,M
514,Stephen Bisciotti,57.0,4000,Sports,United States,M
514,"Austen Cargill, II.",67.0,4000,Food & Beverage,United States,M
514,"James Cargill, II.",68.0,4000,Food & Beverage,United States,M
514,Archie Aldis Emmerson,88.0,4000,Manufacturing,United States,M
514,Antti Herlin,61.0,4000,Manufacturing,Finland,M
514,Sumet Jiaravanon,83.0,4000,Diversified,Thailand,M
514,Lars Larsen,69.0,4000,Fashion & Retail,Denmark,M
514,Marianne Liebmann,64.0,4000,Food & Beverage,United States,F
514,Bobby Murphy,29.0,4000,Technology,United States,M
514,Igor Olenicoff,75.0,4000,Real Estate,United States,M
514,"Walter Scott, Jr.",86.0,4000,Energy,United States,M
514,"Clemmie Spangler, Jr.",85.0,4000,Finance & Investments,United States,M
514,Wang Yusuo,53.0,4000,Energy,China,M
527,Carl Bennet,66.0,4000,Finance & Investments,Sweden,M
527,Arthur Blank,75.0,4000,Sports,United States,M
527,Jaran Chiaravanont,87.0,4000,Diversified,Thailand,M
527,Fan Hongwei,51.0,4000,Energy,China,F
527,John Gandel,83.0,4000,Real Estate,Australia,M
527,James Jannard,68.0,4000,Fashion & Retail,United States,M
527,Montri Jiaravanont,86.0,4000,Diversified,Thailand,M
527,Samuel Tak Lee,78.0,4000,Real Estate,Hong Kong,M
527,Pawan Munjal,64.0,4000,Automotive,India,M
527,Axel Oberwelland,51.0,4000,Food & Beverage,Germany,M
527,James Packer,50.0,4000,Gambling & Casinos,Australia,M
527,Isaac Perlmutter,75.0,4000,Media & Entertainment,United States,M
527,"H. Ross Perot, Sr.",87.0,4000,Diversified,United States,M
527,Michael Pieper,72.0,4000,Manufacturing,Switzerland,M
527,Thomas Pritzker,67.0,4000,Finance & Investments,United States,M
527,"Julian Robertson, Jr.",85.0,4000,Finance & Investments,United States,M
527,Renzo Rosso,62.0,4000,Fashion & Retail,Italy,M
527,Hussain Sajwani,65.0,4000,Real Estate,United Arab Emirates,M
527,Yasumitsu Shigeta,53.0,4000,Telecom,Japan,M
527,Evan Spiegel,27.0,4000,Technology,United States,M
527,Wang Xing,45.0,4000,Technology,China,M
527,Kelcy Warren,62.0,4000,Energy,United States,M
550,Ben Ashkenazy,48.0,4000,Real Estate,United States,M
550,Otto Philipp Braun,40.0,4000,Healthcare,Germany,M
550,Che Jianxing,51.0,4000,Fashion & Retail,China,M
550,Dagmar Dolby,76.0,4000,Technology,United States,F
550,Traudl Engelhorn,91.0,4000,Healthcare,Germany,F
550,Dan Friedkin,53.0,4000,Automotive,United States,M
550,Sergei Galitsky,50.0,4000,Fashion & Retail,Russia,M
550,Huang Rulun,66.0,4000,Real Estate,China,M
550,Erman Ilicak,50.0,4000,Construction & Engineering,Turkey,M
550,Ronald Lauder,74.0,4000,Fashion & Retail,United States,M
550,Michel Leclercq,78.0,4000,Fashion & Retail,France,M
550,Michael Moritz,63.0,4000,Technology,United States,M
550,Issad Rebrab,74.0,4000,Food & Beverage,Algeria,M
550,Naguib Sawiris,63.0,4000,Telecom,Egypt,M
550,Richard Schulze,77.0,4000,Fashion & Retail,United States,M
550,B.R. Shetty,76.0,4000,Healthcare,India,M
550,Jeff Sutton,58.0,4000,Real Estate,United States,M
550,Tony Tan Caktiong,65.0,4000,Food & Beverage,Philippines,M
550,Yu Huijiao,51.0,4000,Logistics,China,M
550,Zhang Xuexin,70.0,4000,Metals & Mining,China,M
550,Zhang Yiming,34.0,4000,Technology,China,M
572,Suhail Bahwan,79.0,3000,Diversified,Oman,M
572,Rick Caruso,59.0,3000,Real Estate,United States,M
572,Tom Gores,53.0,3000,Finance & Investments,United States,M
572,Peter Hargreaves,71.0,3000,Finance & Investments,United Kingdom,M
572,Daniela Herz,64.0,3000,Finance & Investments,Germany,F
572,Guenter Herz,77.0,3000,Finance & Investments,Germany,M
572,Masatoshi Ito,93.0,3000,Fashion & Retail,Japan,M
572,Barry Lam,68.0,3000,Technology,Taiwan,M
572,Ravi Pillai,64.0,3000,Construction & Engineering,India,M
572,Jerry Speyer,77.0,3000,Real Estate,United States,M
572,Harry Stine,76.0,3000,Food & Beverage,United States,M
572,George Ty,85.0,3000,Finance & Investments,Philippines,M
572,Steven Udvar-Hazy,72.0,3000,Service,United States,M
572,Christoph Zeller,60.0,3000,Healthcare,Liechtenstein,M
588,Nathan Blecharczyk,34.0,3000,Technology,United States,M
588,Hubert Burda,78.0,3000,Media & Entertainment,Germany,M
588,Chen Dongsheng,60.0,3000,Finance & Investments,China,M
588,Brian Chesky,36.0,3000,Technology,United States,M
588,Gustaf Douglas,80.0,3000,Diversified,Sweden,M
588,Joe Gebbia,36.0,3000,Technology,United States,M
588,Peter Gilgan,67.0,3000,Construction & Engineering,Canada,M
588,Jeff Greene,63.0,3000,Real Estate,United States,M
588,Jiang Weiping,63.0,3000,Manufacturing,China,M
588,Li Wa,52.0,3000,Real Estate,Hong Kong,M
588,Robert McNair,81.0,3000,Sports,United States,M
588,Masahiro Miki,62.0,3000,Fashion & Retail,Japan,M
588,Ira Rennert,83.0,3000,Finance & Investments,United States,M
588,Henry Samueli,63.0,3000,Technology,United States,M
588,Zeng Fangqin,52.0,3000,Technology,China,F
588,Zhang Jin,46.0,3000,Diversified,China,M
606,Nick Caporella,82.0,3000,Food & Beverage,United States,M
606,Mark Cuban,59.0,3000,Media & Entertainment,United States,M
606,Ken Fisher,67.0,3000,Finance & Investments,United States,M
606,Jaime Gilinski Bacal,60.0,3000,Finance & Investments,Colombia,M
606,Andreas Halvorsen,56.0,3000,Finance & Investments,Norway,M
606,H. Fisk Johnson,59.0,3000,Manufacturing,United States,M
606,Imogene Powers Johnson,87.0,3000,Manufacturing,United States,F
606,S. Curtis Johnson,62.0,3000,Manufacturing,United States,M
606,Helen Johnson-Leipold,61.0,3000,Manufacturing,United States,F
606,Winifred Johnson-Marquart,58.0,3000,Manufacturing,United States,F
606,Viatcheslav Kantor,64.0,3000,Manufacturing,Russia,M
606,Samvel Karapetyan,52.0,3000,Construction & Engineering,Russia,M
606,Marc Ladreit de Lacharriere,77.0,3000,Finance & Investments,France,M
606,Angela Leong,56.0,3000,Gambling & Casinos,Hong Kong,F
606,Li Gaiteng,45.0,3000,Manufacturing,China,M
606,Mangal Prabhat Lodha,62.0,3000,Real Estate,India,M
606,Michael Milken,71.0,3000,Finance & Investments,United States,M
606,Yuri Milner,56.0,3000,Finance & Investments,Russia,M
606,Andreas Struengmann,68.0,3000,Healthcare,Germany,M
606,Thomas Struengmann,68.0,3000,Healthcare,Germany,M
606,Tse Ping,66.0,3000,Healthcare,China,M
606,Yitzhak Tshuva,69.0,3000,Real Estate,Israel,M
606,Samuel Yin,67.0,3000,Diversified,Taiwan,M
629,Michael Ashley,53.0,3000,Fashion & Retail,United Kingdom,M
629,Cao Longxiang,60.0,3000,Healthcare,China,M
629,Jeffery Hildebrand,59.0,3000,Energy,United States,M
629,Jiang Rensheng,64.0,3000,Healthcare,China,M
629,"Edward Johnson, IV.",53.0,3000,Finance & Investments,United States,M
629,Elizabeth Johnson,54.0,3000,Finance & Investments,United States,F
629,Peter Kellogg,75.0,3000,Finance & Investments,United States,M
629,Lim Sung-Ki,78.0,3000,Healthcare,South Korea,M
629,Friedhelm Loh,71.0,3000,Manufacturing,Germany,M
629,Kiran Mazumdar-Shaw,64.0,3000,Healthcare,India,F
629,Idan Ofer,62.0,3000,Diversified,Israel,M
629,Karsanbhai Patel,74.0,3000,Diversified,India,M
629,Qin Yinglin,52.0,3000,Food & Beverage,China,M
629,Qiu Guanghe,66.0,3000,Fashion & Retail,China,M
629,Sarath Ratanavadi,52.0,3000,Energy,Thailand,M
629,Rodger Riney,72.0,3000,Finance & Investments,United States,M
629,Steven Spielberg,71.0,3000,Media & Entertainment,United States,M
629,Arne Wilhelmsen,87.0,3000,Logistics,Norway,M
629,Xu Jingren,73.0,3000,Healthcare,China,M
629,Zhang Li,65.0,3000,Real Estate,China,M
629,Zhang Xin,52.0,3000,Real Estate,China,F
629,Anita Zucker,66.0,3000,Manufacturing,United States,F
652,Carlo Benetton,74.0,3000,Fashion & Retail,Italy,M
652,Gilberto Benetton,76.0,3000,Fashion & Retail,Italy,M
652,Giuliana Benetton,80.0,3000,Fashion & Retail,Italy,F
652,Luciano Benetton,82.0,3000,Fashion & Retail,Italy,M
652,Chen Bang,52.0,3000,Healthcare,China,M
652,Abilio dos Santos Diniz,81.0,3000,Fashion & Retail,Brazil,M
652,Bernard Ecclestone,87.0,3000,Sports,United Kingdom,M
652,Judy Faulkner,74.0,3000,Technology,United States,F
652,Gao Tianguo,66.0,3000,Real Estate,China,M
652,Joshua Harris,53.0,3000,Finance & Investments,United States,M
652,Arthur Irving,88.0,3000,Energy,Canada,M
652,Baba Kalyani,69.0,3000,Construction & Engineering,India,M
652,Dmitry Kamenshchik,49.0,3000,Service,Russia,M
652,Douglas Leone,60.0,3000,Finance & Investments,United States,M
652,Edwin Leong,66.0,3000,Real Estate,Hong Kong,M
652,Arnon Milchan,73.0,3000,Media & Entertainment,Israel,M
652,Anthony Pritzker,57.0,3000,Service,United States,M
652,Jay Robert (J.B.) Pritzker,53.0,3000,Finance & Investments,United States,M
652,Mitchell Rales,61.0,3000,Manufacturing,United States,M
652,Kjell Inge Rokke,59.0,3000,Logistics,Norway,M
652,"Bernard Saul, II.",85.0,3000,Finance & Investments,United States,M
652,Donald Sterling,83.0,3000,Real Estate,United States,M
652,Tahir,65.0,3000,Diversified,Indonesia,M
652,Chairul Tanjung,55.0,3000,Diversified,Indonesia,M
652,Clemens Toennies,61.0,3000,Food & Beverage,Germany,M
679,Somphote Ahunai,50.0,3000,Energy,Thailand,M
679,Igor Altushkin,47.0,3000,Metals & Mining,Russia,M
679,Riley Bechtel,65.0,3000,Construction & Engineering,United States,M
679,"Stephen Bechtel, Jr.",92.0,3000,Construction & Engineering,United States,M
679,Mike Cannon-Brookes,38.0,3000,Technology,Australia,M
679,Rafael Del Pino y Calvo-Sotelo,59.0,3000,Construction & Engineering,Spain,M
679,Antonio Del Valle Ruiz,79.0,3000,Manufacturing,Mexico,M
679,Scott Farquhar,38.0,3000,Technology,Australia,M
679,Lindsay Fox,80.0,3000,Logistics,Australia,M
679,Jimmy Haslam,64.0,3000,Fashion & Retail,United States,M
679,Heidi Horten,77.0,3000,Fashion & Retail,Austria,F
679,Min Kao,69.0,3000,Technology,United States,M
679,Melissa Ma,48.0,3000,Technology,China,F
679,Rudolf Maag,72.0,3000,Healthcare,Switzerland,M
679,Alexander Ponomarenko,53.0,3000,Logistics,Russia,M
679,Carlos Rodriguez-Pastor,58.0,3000,Finance & Investments,Peru,M
679,Teddy Sagi,46.0,3000,Gambling & Casinos,Israel,M
679,Shaul Shani,63.0,3000,Telecom,Israel,M
679,Alexander Skorobogatko,50.0,3000,Logistics,Russia,M
679,Sun Guangxin,55.0,3000,Diversified,China,M
679,Rita Tong Liu,69.0,3000,Real Estate,Hong Kong,F
679,Juan-Miguel Villar Mir,86.0,3000,Construction & Engineering,Spain,M
679,Steve Wynn,76.0,3000,Gambling & Casinos,United States,M
703,Anil Agarwal,64.0,3000,Metals & Mining,India,M
703,John Arnold,44.0,3000,Finance & Investments,United States,M
703,Sid Bass,75.0,3000,Energy,United States,M
703,Alain Bouchard,69.0,3000,Fashion & Retail,Canada,M
703,John Brown,83.0,3000,Healthcare,United States,M
703,Vanich Chaiyawan,86.0,3000,Finance & Investments,Thailand,M
703,Chen Lip Keong,70.0,3000,Gambling & Casinos,Malaysia,M
703,Charles Cohen,66.0,3000,Real Estate,United States,M
703,Ashwin Dani,75.0,3000,Manufacturing,India,M
703,Rakesh Gangwal,64.0,3000,Service,United States,M
703,Reid Hoffman,50.0,3000,Technology,United States,M
703,"Amos Hostetter, Jr.",81.0,3000,Media & Entertainment,United States,M
703,Zarakh Iliev,51.0,3000,Real Estate,Russia,M
703,Ji Qi,51.0,3000,Real Estate,China,M
703,Kenneth Langone,82.0,3000,Finance & Investments,United States,M
703,Li Sze Lim,60.0,3000,Real Estate,Hong Kong,M
703,George Lindemann,81.0,3000,Finance & Investments,United States,M
703,Liu Zhongtian,54.0,3000,Manufacturing,China,M
703,Luo Liguo,62.0,3000,Manufacturing,China,M
703,Mary Alice Dorrance Malone,68.0,3000,Food & Beverage,United States,F
703,"Henry Nicholas, III.",58.0,3000,Technology,United States,M
703,God Nisanov,45.0,3000,Real Estate,Russia,M
703,Pat Stryker,61.0,3000,Healthcare,United States,F
703,Alexander Svetakov,50.0,3000,Finance & Investments,Russia,M
703,Hans Peter Wild,76.0,3000,Food & Beverage,Switzerland,M
729,Yvonne Bauer,40.0,3000,Media & Entertainment,Germany,F
729,Patrizio Bertelli,72.0,3000,Fashion & Retail,Italy,M
729,Neil Bluhm,80.0,3000,Real Estate,United States,M
729,Scott Cook,65.0,3000,Technology,United States,M
729,Leon G. Cooperman,74.0,3000,Finance & Investments,United States,M
729,John Paul DeJoria,73.0,3000,Fashion & Retail,United States,M
729,Martin Ebner,72.0,3000,Finance & Investments,Switzerland,M
729,Walter Faria,62.0,3000,Food & Beverage,Brazil,M
729,Sameer Gehlaut,44.0,3000,Finance & Investments,India,M
729,Tom Golisano,76.0,3000,Service,United States,M
729,Otto Happel,70.0,3000,Construction & Engineering,Germany,M
729,Jiang Bin,51.0,3000,Technology,China,M
729,Karel Komarek,48.0,3000,Gambling & Casinos,Czech Republic,M
729,Kurt Krieger,69.0,3000,Fashion & Retail,Germany,M
729,Timur Kulibaev,51.0,3000,Finance & Investments,Kazakhstan,M
729,Dinara Kulibaeva,50.0,3000,Finance & Investments,Kazakhstan,F
729,Spiro Latsis,71.0,3000,Diversified,Greece,M
729,Daniel Loeb,56.0,3000,Finance & Investments,United States,M
729,Luo Jye,92.0,3000,Automotive,Taiwan,M
729,Ronald McAulay,82.0,3000,Energy,Hong Kong,M
729,Alain Merieux,80.0,3000,Healthcare,France,M
729,Hans Georg Naeder,56.0,3000,Manufacturing,Germany,M
729,Nie Tengyun,42.0,3000,Service,China,M
729,Daniel Och,57.0,3000,Finance & Investments,United States,M
729,Miuccia Prada,68.0,3000,Fashion & Retail,Italy,F
729,Marc Rowan,55.0,3000,Finance & Investments,United States,M
729,Haim Saban,73.0,3000,Media & Entertainment,United States,M
729,Alvaro Saieh Bendeck,68.0,3000,Finance & Investments,Chile,M
729,Michael & Reiner Schmidt-Ruthenbeck,75.0,3000,Fashion & Retail,Germany,M
729,Lynn Schusterman,79.0,3000,Energy,United States,F
729,Mark Shoen,67.0,3000,Automotive,United States,M
729,Michal Solowow,55.0,3000,Finance & Investments,Poland,M
729,Daniel Tsai,61.0,3000,Finance & Investments,Taiwan,M
729,Richard Tsai,60.0,3000,Finance & Investments,Taiwan,M
729,Frank Wang,37.0,3000,Technology,China,M
729,Meg Whitman,61.0,3000,Technology,United States,F
766,John Catsimatidis,69.0,3000,Energy,United States,M
766,Cheng Cheung Ling,54.0,3000,Healthcare,China,F
766,Barry Diller,76.0,3000,Media & Entertainment,United States,M
766,Jack Dorsey,41.0,3000,Technology,United States,M
766,Yakir Gabay,51.0,3000,Real Estate,Cyprus,M
766,Allan Goldman,75.0,3000,Real Estate,United States,M
766,Jane Goldman,62.0,3000,Real Estate,United States,F
766,Amy Goldman Fowler,63.0,3000,Real Estate,United States,F
766,Daryl Katz,56.0,3000,Diversified,Canada,M
766,Diane Kemper,72.0,3000,Real Estate,United States,F
766,Vladimir Kim,57.0,3000,Metals & Mining,Kazakhstan,M
766,Lai Meisong,47.0,3000,Logistics,China,M
766,Manuel Lao Hernandez,73.0,3000,Gambling & Casinos,Spain,M
766,James Leprino,80.0,3000,Food & Beverage,United States,M
766,Liang Xinjun,50.0,3000,Diversified,China,M
766,Tom Morris,63.0,3000,Fashion & Retail,United Kingdom,M
766,Thi Phuong Thao Nguyen,47.0,3000,Diversified,Vietnam,F
766,Rajan Raheja,63.0,3000,Diversified,India,M
766,Ren Jianhua,61.0,3000,Manufacturing,China,M
766,Richard Sands,67.0,3000,Food & Beverage,United States,M
766,Kerry Stokes,77.0,3000,Diversified,Australia,M
766,Donald Trump,71.0,3000,Real Estate,United States,M
766,Romesh T. Wadhwani,70.0,3000,Technology,United States,M
766,Wang Jian,64.0,3000,Technology,China,M
791,Clifford Asness,51.0,3000,Finance & Investments,United States,M
791,Anne Beaufour,54.0,3000,Healthcare,France,F
791,Henri Beaufour,52.0,3000,Healthcare,France,M
791,Tom Benson,90.0,3000,Sports,United States,M
791,Jim Breyer,56.0,3000,Technology,United States,M
791,Alejandro Bulgheroni,73.0,3000,Energy,Argentina,M
791,Hasmukh Chudgar,84.0,3000,Healthcare,India,M
791,Ennio Doris,77.0,3000,Finance & Investments,Italy,M
791,Luis Frias,54.0,3000,Technology,Brazil,M
791,Valentin Gapontsev,79.0,3000,Manufacturing,United States,M
791,Martin Haefner,64.0,3000,Technology,Switzerland,M
791,Christopher Hohn,51.0,3000,Finance & Investments,United Kingdom,M
791,Johnelle Hunt,86.0,3000,Logistics,United States,F
791,Rakesh Jhunjhunwala,57.0,3000,Finance & Investments,India,M
791,Lu Xiangyang,55.0,3000,Automotive,China,M
791,John Middleton,63.0,3000,Food & Beverage,United States,M
791,Kazuo Okada,75.0,3000,Gambling & Casinos,Japan,M
791,Jorge Perez,68.0,3000,Real Estate,United States,M
791,Prasert Prasarttong-Osoth,84.0,3000,Healthcare,Thailand,M
791,Jean (Gigi) Pritzker,55.0,3000,Service,United States,F
791,Mochtar Riady,88.0,3000,Diversified,Indonesia,M
791,Arkady Rotenberg,66.0,3000,Construction & Engineering,Russia,M
791,Michael Rubin,45.0,3000,Fashion & Retail,United States,M
791,Robert Sands,59.0,3000,Food & Beverage,United States,M
791,Herbert Simon,83.0,3000,Real Estate,United States,M
791,Robert Toennies,39.0,3000,Food & Beverage,Germany,M
791,Manuel Villar,68.0,3000,Real Estate,Philippines,M
791,Don Vultaggio,66.0,3000,Food & Beverage,United States,M
791,Wang Zhenhua,56.0,3000,Real Estate,China,M
791,Wu Kaiting,48.0,3000,Telecom,Hong Kong,M
791,Simon Xie,48.0,3000,Technology,China,M
822,Chuck Bundrant,76.0,2000,Food & Beverage,United States,M
822,Cai Dongchen,65.0,2000,Healthcare,China,M
822,Jason Chang,73.0,2000,Technology,Singapore,M
822,Smita Crishna-Godrej,67.0,2000,Diversified,India,F
822,Ding Shizhong,47.0,2000,Fashion & Retail,China,M
822,Feng Hailiang,57.0,2000,Metals & Mining,China,M
822,Gerald Ford,73.0,2000,Finance & Investments,United States,M
822,Philippe Foriel-Destezet,82.0,2000,Service,France,M
822,Adi Godrej,75.0,2000,Diversified,India,M
822,Jamshyd Godrej,69.0,2000,Diversified,India,M
822,Nadir Godrej,67.0,2000,Diversified,India,M
822,Joseph Grendys,56.0,2000,Food & Beverage,United States,M
822,Hedda im Brahm-Droege,63.0,2000,Service,Germany,F
822,Ke Zunhong,63.0,2000,Healthcare,China,M
822,Randal Kirk,64.0,2000,Healthcare,United States,M
822,Alicia Koplowitz,64.0,2000,Finance & Investments,Spain,F
822,Kwek Leng Beng,77.0,2000,Real Estate,Singapore,M
822,Louis Le Duff,71.0,2000,Food & Beverage,France,M
822,Yusaku Maezawa,42.0,2000,Technology,Japan,M
822,Sergio Mantegazza,90.0,2000,Service,Switzerland,M
822,Hans Melchers,79.0,2000,Finance & Investments,Netherlands,M
822,Erwin Franz Mueller,85.0,2000,Fashion & Retail,Germany,M
822,Rishad Naoroji,66.0,2000,Diversified,India,M
822,Husnu Ozyegin,73.0,2000,Finance & Investments,Turkey,M
822,Prajogo Pangestu,73.0,2000,Diversified,Indonesia,M
822,Jeff Rothschild,63.0,2000,Technology,United States,M
822,Thomas Siebel,65.0,2000,Technology,United States,M
822,Paul Singer,73.0,2000,Finance & Investments,United States,M
822,Ralph Sonnenberg,83.0,2000,Manufacturing,Netherlands,M
822,Jon Stryker,59.0,2000,Healthcare,United States,M
822,Georg Stumpf,45.0,2000,Diversified,Austria,M
822,Tsai Hong-tu,65.0,2000,Finance & Investments,Taiwan,M
822,Vincent Viola,62.0,2000,Finance & Investments,United States,M
822,Radovan Vitek,46.0,2000,Real Estate,Czech Republic,M
822,Wang Laichun,50.0,2000,Technology,China,F
822,Wang Laisheng,53.0,2000,Technology,China,M
859,Carlos Ardila Lülle,87.0,2000,Food & Beverage,Colombia,M
859,"William Conway, Jr.",68.0,2000,Finance & Investments,United States,M
859,Daniel D'Aniello,71.0,2000,Finance & Investments,United States,M
859,Jim Davis,57.0,2000,Service,United States,M
859,Ding Shijia,54.0,2000,Fashion & Retail,China,M
859,"John Dorrance, III.",74.0,2000,Food & Beverage,Ireland,M
859,Doris Fisher,86.0,2000,Fashion & Retail,United States,F
859,John Fisher,56.0,2000,Fashion & Retail,United States,M
859,Caroline Hagen Kjos,34.0,2000,Diversified,Norway,F
859,Kieu Hoang,73.0,2000,Healthcare,United States,M
859,Huang Shih Tsai,66.0,2000,Real Estate,Hong Kong,M
859,H. Wayne Huizenga,80.0,2000,Finance & Investments,United States,M
859,Osman Kibar,46.0,2000,Healthcare,United States,M
859,Aloke Lohia,59.0,2000,Manufacturing,India,M
859,Taha Mikati,73.0,2000,Telecom,Lebanon,M
859,Philip Niarchos,64.0,2000,Diversified,Greece,M
859,Stefan Olsson,69.0,2000,Diversified,Sweden,M
859,Sebastian Piñera,68.0,2000,Finance & Investments,Chile,M
859,Penny Pritzker,58.0,2000,Finance & Investments,United States,F
859,Nicolas Puech,75.0,2000,Fashion & Retail,France,M
859,Chandru Raheja,77.0,2000,Real Estate,India,M
859,David Rubenstein,68.0,2000,Finance & Investments,United States,M
859,Shi Yuzhu,55.0,2000,Diversified,China,M
859,Zygmunt Solorz-Zak,61.0,2000,Media & Entertainment,Poland,M
859,Tung Chee Chen,76.0,2000,Logistics,Hong Kong,M
859,Mark Walter,57.0,2000,Finance & Investments,United States,M
859,"William Wrigley, Jr.",54.0,2000,Food & Beverage,United States,M
859,Mortimer Zuckerman,80.0,2000,Real Estate,United States,M
887,Mohed Altrad,70.0,2000,Construction & Engineering,France,M
887,Anil Ambani,58.0,2000,Diversified,India,M
887,Roberto Angelini Rossi,69.0,2000,Diversified,Chile,M
887,Pierre Chen,60.0,2000,Diversified,Taiwan,M
887,Ray Davis,76.0,2000,Energy,United States,M
887,"Edward DeBartolo, Jr.",71.0,2000,Real Estate,United States,M
887,Bennett Dorrance,72.0,2000,Food & Beverage,United States,M
887,Eduardo Eurnekian,85.0,2000,Diversified,Argentina,M
887,Piero Ferrari,72.0,2000,Automotive,Italy,M
887,Fiona Geminder,53.0,2000,Manufacturing,Australia,F
887,Gu Yuhua,68.0,2000,Manufacturing,China,M
887,Don Hankey,74.0,2000,Finance & Investments,United States,M
887,Reed Hastings,57.0,2000,Media & Entertainment,United States,M
887,Huang Wei,58.0,2000,Real Estate,China,M
887,James Irsay,58.0,2000,Sports,United States,M
887,Kim Beom-Su,51.0,2000,Technology,South Korea,M
887,Mustafa Kucuk,54.0,2000,Fashion & Retail,Turkey,M
887,Mohamed Mansour,70.0,2000,Diversified,Egypt,M
887,Najib Mikati,62.0,2000,Telecom,Lebanon,M
887,Ermirio Pereira de Moraes,85.0,2000,Diversified,Brazil,M
887,Bob Parsons,67.0,2000,Technology,United States,M
887,Krit Ratanarak,71.0,2000,Media & Entertainment,Thailand,M
887,Helena Revoredo,71.0,2000,Service,Spain,F
887,Phillip Ruffin,82.0,2000,Diversified,United States,M
887,Howard Schultz,64.0,2000,Food & Beverage,United States,M
887,E. Joe Shoen,68.0,2000,Automotive,United States,M
887,Thomas Straumann,54.0,2000,Healthcare,Switzerland,M
887,Lawrence Stroll,58.0,2000,Fashion & Retail,Canada,M
887,Andrew Tan,65.0,2000,Diversified,Philippines,M
887,Frank VanderSloot,69.0,2000,Fashion & Retail,United States,M
887,Sandro Veronesi,58.0,2000,Fashion & Retail,Italy,M
887,Ty Warner,73.0,2000,Real Estate,United States,M
887,Oprah Winfrey,64.0,2000,Media & Entertainment,United States,F
887,Zhang Wenzhong,56.0,2000,Fashion & Retail,China,M
887,Zuo Hui,47.0,2000,Real Estate,China,M
924,Juan Abello,76.0,2000,Finance & Investments,Spain,M
924,Semahat Sevim Arsel,89.0,2000,Diversified,Turkey,F
924,Bang Jun-Hyuk,49.0,2000,Technology,South Korea,M
924,Koos Bekker,65.0,2000,Media & Entertainment,South Africa,M
924,David Bonderman,75.0,2000,Finance & Investments,United States,M
924,Francesco Gaetano Caltagirone,74.0,2000,Construction & Engineering,Italy,M
924,John Caudwell,65.0,2000,Telecom,United Kingdom,M
924,Chen Fashu,57.0,2000,Finance & Investments,China,M
924,Chung Eui-Sun,47.0,2000,Logistics,South Korea,M
924,Isabel dos Santos,44.0,2000,Finance & Investments,Angola,F
924,Fong Yun Wah,93.0,2000,Real Estate,Hong Kong,M
924,Phillip Frost,81.0,2000,Healthcare,United States,M
924,Lutz Mario Helmig,71.0,2000,Healthcare,Germany,M
924,B. Wayne Hughes,84.0,2000,Service,United States,M
924,Daniel Kretinsky,42.0,2000,Energy,Czech Republic,M
924,Raj Kumar & Kishin RK,63.0,2000,Real Estate,Singapore,M
924,Lam Kong,53.0,2000,Healthcare,China,M
924,Lau Cho Kun,82.0,2000,Diversified,Malaysia,M
924,"Stephen Mandel, Jr.",61.0,2000,Finance & Investments,United States,M
924,Gilles Martin,54.0,2000,Healthcare,France,M
